_id,Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths
133,2020-06-17T00:00:00,,,,2410,27784,2550,32744,1071429,24205,1.1,21635,383,92,65,5359,2097,1636,6
134,2020-06-18T00:00:00,,,,2360,28004,2553,32917,1096707,25278,1.1,24887,351,84,60,5360,2115,1636,6
135,2020-06-19T00:00:00,,,,2281,28250,2564,33095,1123932,27225,1.1,21479,331,82,65,5384,2142,1645,6
136,2020-06-20T00:00:00,,,,2238,28468,2595,33301,1151319,27387,1.1,16963,333,80,63,5345,2153,1651,6
137,2020-06-21T00:00:00,,,,2151,28719,2606,33476,1174727,23408,1.4,15424,286,86,59,5355,2176,1657,6
138,2020-06-22T00:00:00,,,,2095,28933,2609,33637,1196627,21900,1.8,10027,265,76,58,5364,2192,1654,6
139,2020-06-23T00:00:00,,,,2127,29107,2619,33853,1212816,16189,1.3,16418,288,75,54,5392,2205,1664,6
140,2020-06-24T00:00:00,,,,2049,29336,2631,34016,1236023,23207,1.3,21398,278,73,48,5427,2244,1683,5
141,2020-06-25T00:00:00,,,,2036,29528,2641,34205,1263534,27511,0.9,24607,270,69,47,5436,2258,1689,5
142,2020-06-26T00:00:00,,,,1918,29754,2644,34316,1294314,30780,1.1,27344,256,61,41,5445,2268,1692,5
143,2020-06-27T00:00:00,,,,1892,29932,2652,34476,1327806,33492,1.4,33759,252,54,35,5457,2282,1698,5
144,2020-06-28T00:00:00,,,,1889,30107,2658,34654,1356439,28633,1.0,29592,214,51,36,5468,2288,1700,5
145,2020-06-29T00:00:00,,,,2050,30196,2665,34911,1383566,27127,1.0,16701,232,46,35,5468,2283,1706,5
146,2020-06-30T00:00:00,,,,2052,30344,2672,35068,1407325,23759,1.0,19318,213,42,34,5473,2284,1710,5
147,2020-07-01T00:00:00,,,,2015,30526,2676,35217,1433381,26056,0.8,23326,209,43,30,5476,2292,1710,5
148,2020-07-02T00:00:00,,,,1960,30730,2680,35370,1457703,24322,0.8,13922,119,40,26,5488,2290,1712,6
149,2020-07-03T00:00:00,,,,1944,30909,2682,35535,1481897,24194,0.8,15911,155,40,25,5508,2301,1712,7
150,2020-07-04T00:00:00,,,,1886,31083,2687,35656,1503322,21425,1.0,14594,150,39,26,5512,2312,1717,7
151,2020-07-05T00:00:00,,,,1839,31266,2689,35794,1527114,23792,0.9,11651,139,39,23,5515,2321,1718,7
152,2020-07-06T00:00:00,,,,1833,31426,2689,35948,1544417,17303,0.8,8931,118,36,21,5514,2326,1717,7
153,2020-07-07T00:00:00,,,,1766,31603,2691,36060,1559529,15112,0.9,12625,131,34,24,5516,2327,1717,7
154,2020-07-08T00:00:00,,,,1673,31805,2700,36178,1582361,22832,0.9,17116,123,35,26,5521,2343,1722,7
155,2020-07-09T00:00:00,,,,1668,31977,2703,36348,1608687,26326,0.8,21648,123,31,23,5526,2364,1722,7
156,2020-07-10T00:00:00,,,,1599,32155,2710,36464,1636171,27484,0.7,25668,117,34,24,5527,2368,1724,7
157,2020-07-11T00:00:00,,,,1456,32422,2716,36594,1665693,29522,0.7,22083,128,31,18,5535,2383,1728,8
158,2020-07-12T00:00:00,,,,1470,32534,2719,36723,1691419,25726,0.8,16174,116,29,19,5537,2395,1729,8
159,2020-07-13T00:00:00,,,,1454,32663,2722,36839,1712315,20896,0.8,7837,104,28,20,5540,2403,1730,8
160,2020-07-14T00:00:00,,,,1442,32785,2723,36950,1729059,16744,0.7,13918,137,30,21,5540,2419,1729,8
161,2020-07-15T00:00:00,,,,1400,32920,2732,37052,1752828,23769,0.8,22029,115,31,22,5545,2453,1730,8
162,2020-07-16T00:00:00,,,,1365,33061,2737,37163,1779320,26492,0.9,25297,107,26,20,5548,2455,1731,8
163,2020-07-17T00:00:00,,,,1366,33162,2746,37274,1810483,31163,0.7,24781,108,30,21,5545,2462,1732,8
164,2020-07-18T00:00:00,,,,1398,33294,2748,37440,1839332,28849,0.7,24551,105,33,22,5547,2469,1732,8
165,2020-07-19T00:00:00,,,,1446,33407,2751,37604,1866222,26890,1.0,18081,101,34,23,5549,2477,1731,8
166,2020-07-20T00:00:00,,,,1474,33513,2752,37739,1887135,20913,1.0,11351,115,37,24,5546,2480,1730,8
167,2020-07-21T00:00:00,,,,1584,33605,2753,37942,1910109,22974,0.9,11842,120,36,23,5546,2484,1732,8
168,2020-07-22T00:00:00,,,,1540,33812,2755,38107,1934099,23990,0.7,18881,128,37,19,5877,2496,1788,8
169,2020-07-23T00:00:00,,,,1492,33963,2755,38210,1960100,26001,0.8,21825,154,35,21,5877,2501,1789,8
170,2020-07-24T00:00:00,,,,1547,34100,2758,38405,1988909,28809,0.9,25550,141,31,20,5881,2503,1791,8
171,2020-07-25T00:00:00,,,,1544,34240,2759,38543,2018813,29904,0.6,26078,97,30,21,5884,2517,1791,8
172,2020-07-26T00:00:00,,,,1558,34359,2763,38680,2044957,26144,0.6,18000,87,29,21,5885,2527,1792,8
